sequence_id	mlg_farthest	popmap	type
EXS11ID000851	1	pop1	Domesticated
EXS12ID000488	2	pop2	Domesticated
EXS16ID000913	4	pop4	Semi-domesticated
EXS17ID000914	5	pop5	Semi-domesticated
EXS5ID000604	7	pop7	Domesticated
EXS8ID000683	8	pop8	Domesticated
P1EN006	12	pop12	Domesticated
P1EN007	13	pop13	Domesticated
P1EN008	14	pop14	Domesticated
P1EN010	16	pop16	Domesticated
P1EN011	17	pop17	Domesticated
P1EN015	21	pop21	Domesticated
P1EN016	22	pop22	Domesticated
P1EN019	25	pop25	Domesticated
P1EN021	27	pop27	Domesticated
P1EN009	34	pop15	Domesticated
P1EN029	35	pop35	Domesticated
P1EN032	38	pop38	Domesticated
P1EN035	41	pop41	Domesticated
P1EN037	43	pop43	Domesticated
P1EN042	48	pop48	Domesticated
P1EN044	51	pop50	Domesticated
P1EN050	56	pop56	Domesticated
P1EN051	57	pop57	Domesticated
P1EN054	60	pop60	Domesticated
P1EN057	63	pop63	Domesticated
P1EN058	64	pop64	Domesticated
P1EN059	65	pop65	Domesticated
P1EN060	66	pop66	Domesticated
P1EN062	68	pop68	Domesticated
P1EN065	71	pop71	Domesticated
P1EN070	73	pop73	Wild
P1EN071	74	pop74	Wild
P1EN072	75	pop75	Wild
P1EN074	77	pop77	Wild
P1EN075	78	pop78	Wild
P1EN076	79	pop79	Wild
P1EN077	80	pop80	Wild
P1EN082	81	pop81	Domesticated
P1EN083	82	pop82	Outgroup
P1EN003	83	pop9	Domesticated
P1EN014	84	pop20	Domesticated
P1EN043	85	pop49	Domesticated
P1EN098	86	pop86	Domesticated
P2S10ID586	87	pop87	Domesticated
P2S11ID386	88	pop88	Domesticated
P2S12ID339	89	pop89	Domesticated
P2S14ID130	91	pop91	Domesticated
P2S18ID615	95	pop95	Domesticated
P1EN012	96	pop18	Domesticated
P2S26ID640	102	pop102	Domesticated
P2S28ID607	103	pop103	Domesticated
P2S25ID589	106	pop101	Domesticated
P2S32ID684	108	pop108	Domesticated
P2S29ID694	109	pop104	Domesticated
P2S34ID644	110	pop110	Domesticated
P2S35ID393	111	pop111	Domesticated
P1EN018	114	pop24	Domesticated
P2S39ID395	115	pop115	Domesticated
P2S40ID387	117	pop117	Domesticated
P2S42ID343	119	pop119	Domesticated
P2S43ID605	120	pop120	Domesticated
P2S45ID129	122	pop122	Domesticated
P2S46ID235	123	pop123	Domesticated
P2S48ID373	125	pop125	Domesticated
P2S49ID275	126	pop126	Domesticated
P2S50ID106	128	pop128	Domesticated
P2S23ID619	129	pop99	Domesticated
P1EN023	130	pop29	Domesticated
P2S24ID556	132	pop100	Domesticated
P1EN064	133	pop70	Domesticated
P2S56ID533	134	pop134	Domesticated
P2S22ID101	137	pop98	Domesticated
P2S5ID354	138	pop138	Domesticated
P1EN053	141	pop59	Domesticated
P2S36ID268	145	pop112	Domesticated
P2S69ID341	148	pop148	Domesticated
P2S44ID662	151	pop121	Domesticated
P2S73ID635	153	pop153	Domesticated
P2S74ID645	154	pop154	Domesticated
P1EN024	155	pop30	Domesticated
P2S76ID345	156	pop156	Semi-domesticated
P2S77ID344	157	pop157	Semi-domesticated
P2S78ID491	158	pop158	Domesticated
P2S88IDITC1387	160	pop160	Outgroup
P2S96IDRPSSEED1	162	pop162	Outgroup
P3S12ID478	166	pop166	Domesticated
P3S16ID881	170	pop170	Domesticated
P3S17ID505	171	pop171	Domesticated
P3S19ID852	173	pop173	Domesticated
