SEQUENCE_ID,SAMPLE_ID,POPULATION,TYPE,sample_id,Landrace_2,_latitude,_longitude,Unique_code,Sample_date
EXS11ID000851.digested.trimmed.fq.gz,EXS11ID000851,1,Domestic,851,Chamo,6.191268003,37.57450757,031c0c90-0ac4-4f68-8f69-d960eaecb705,18/10/2018
EXS12ID000488.digested.trimmed.fq.gz,EXS12ID000488,1,Domestic,488,Worsaife,6.049165501,37.22941625,5a728129-b1e3-4781-9890-756b87133039,20/10/2018
EXS13ID000895.digested.trimmed.fq.gz,EXS13ID000895,1,Domestic,895,Arooko,7.933571263,36.51323982,c6b997b2-95b1-4b8b-89e3-a15fbeb4303e,24/10/2018
EXS16ID000913.digested.trimmed.fq.gz,EXS16ID000913,1,Domestic,913,Unknown_green,9.037241562,37.42883203,d873d0e5-70ef-4e53-a47f-144583374165,25/10/2018
EXS17ID000914.digested.trimmed.fq.gz,EXS17ID000914,1,Domestic,914,Unknown_red,9.037225949,37.4289773,d873d0e5-70ef-4e53-a47f-144583374165,25/10/2018
EXS1ID000384.digested.trimmed.fq.gz,EXS1ID000384,1,Domestic,384,Ganticha,6.774082442,38.43834313,835c3a82-4e2d-4851-bc81-edafefc6b651,02/04/2018
EXS5ID000604.digested.trimmed.fq.gz,EXS5ID000604,1,Domestic,604,Toracho,6.137371431,38.1996072,8b3cb20c-10fd-41c4-8cf4-0316c66bde65,04/04/2018
EXS8ID000683.digested.trimmed.fq.gz,EXS8ID000683,1,Domestic,683,Wanade,6.778954922,37.76874955,7596b9e7-27ca-4a7c-987f-426956b161e2,10/04/2018
P1EN003.digested.trimmed.fq.gz,P1EN003,1,Domestic,162,Achachet,8.491123519,38.01776645,0f21ebee-c784-4174-9e60-a046b3f5ab97,27/01/2018
P1EN004.digested.trimmed.fq.gz,P1EN004,1,Domestic,153,Achora,8.594391793,38.12799501,7678f3a6-488a-4c65-884d-2bb4bc35e940,26/01/2018
P1EN005.digested.trimmed.fq.gz,P1EN005,1,Domestic,297,Agade,7.967592026,37.87879265,29b0bc33-9d78-4f64-bc1a-f189a2073e1d,05/02/2018
P1EN006.digested.trimmed.fq.gz,P1EN006,1,Domestic,149,Amerat,8.109740093,37.94747941,87e30730-51ef-4732-8978-d30e9d34405a,04/02/2018
P1EN007.digested.trimmed.fq.gz,P1EN007,1,Domestic,315,Anhauriye,7.988862405,37.87177054,ba5f9c1a-725d-444a-b7a2-24801f743a83,07/02/2018
P1EN008.digested.trimmed.fq.gz,P1EN008,1,Domestic,298,Ankafuye,7.964639878,37.88194123,181533dc-5314-48d7-aaea-3ddb487a18fb,05/02/2018
P1EN009.digested.trimmed.fq.gz,P1EN009,1,Domestic,292,Astara,7.967711887,37.87879701,29b0bc33-9d78-4f64-bc1a-f189a2073e1d,05/02/2018
P1EN010.digested.trimmed.fq.gz,P1EN010,1,Domestic,188,Awugne,8.703316175,37.88128241,5f2af49b-8cb7-4344-a239-c50631e1c395,29/01/2018
P1EN011.digested.trimmed.fq.gz,P1EN011,1,Domestic,220,Badadet,8.381723044,37.85846553,edbee9b6-83be-47fb-862e-be853a3c9943,02/02/2018
P1EN012.digested.trimmed.fq.gz,P1EN012,1,Domestic,198,Badadet,8.555345787,38.11014893,019b4dfd-711d-4364-82c7-3a8ab0db74d3,26/01/2018
P1EN013.digested.trimmed.fq.gz,P1EN013,1,Domestic,25,Badadet,8.701681704,37.88014105,b46a9dc1-88a9-49db-bde8-5012fe0aa0c5,29/01/2018
P1EN014.digested.trimmed.fq.gz,P1EN014,1,Domestic,40,Bashalga,8.620383823,37.90502314,1586c77d-bf42-4855-8b74-6116b071056c,30/01/2018
P1EN015.digested.trimmed.fq.gz,P1EN015,1,Domestic,358,Bazariya,7.98749167,37.87566075,960da4b5-9188-4cd5-9220-1e7197447964,05/02/2018
P1EN016.digested.trimmed.fq.gz,P1EN016,1,Domestic,144,Bishaganchwe,8.196865031,37.81074297,28bb67eb-842f-4db1-93aa-be7b1b88d30d,04/02/2018
P1EN017.digested.trimmed.fq.gz,P1EN017,1,Domestic,295,Bishamerat,7.967645461,37.87881553,29b0bc33-9d78-4f64-bc1a-f189a2073e1d,05/02/2018
P1EN018.digested.trimmed.fq.gz,P1EN018,1,Domestic,363,Bishastara,7.98747675,37.87568456,960da4b5-9188-4cd5-9220-1e7197447964,05/02/2018
P1EN019.digested.trimmed.fq.gz,P1EN019,1,Domestic,307,Busara,7.960613421,37.88266853,c0a5b484-0f4d-40f2-9bfc-f7bc7e525d13,05/02/2018
P1EN020.digested.trimmed.fq.gz,P1EN020,1,Domestic,155,Chachata,8.594311452,38.12812317,7678f3a6-488a-4c65-884d-2bb4bc35e940,26/01/2018
P1EN021.digested.trimmed.fq.gz,P1EN021,1,Domestic,191,Dere,8.489701822,38.01724861,253d8c03-9d0d-44a3-919e-ae5f5a62937d,27/01/2018
P1EN022.digested.trimmed.fq.gz,P1EN022,1,Domestic,81,Dima,8.504658155,38.00339517,38bf1cbf-b04c-41b1-8113-a6b34f9248a5,25/01/2018
P1EN023.digested.trimmed.fq.gz,P1EN023,1,Domestic,135,Dinkinet,8.194216895,37.80640385,4241a16d-cfc8-4abe-ad93-dbd6990fcfba,04/02/2018
P1EN024.digested.trimmed.fq.gz,P1EN024,1,Domestic,309,Edemert,7.960681482,37.88266291,c0a5b484-0f4d-40f2-9bfc-f7bc7e525d13,05/02/2018
P1EN025.digested.trimmed.fq.gz,P1EN025,1,Domestic,291,Emeriye,7.967846459,37.87894151,29b0bc33-9d78-4f64-bc1a-f189a2073e1d,05/02/2018
P1EN026.digested.trimmed.fq.gz,P1EN026,1,Domestic,26,Ferezye,8.703310476,37.88037247,169bb4a9-b25b-437b-8d57-7051ce7bea5b,29/01/2018
P1EN027.digested.trimmed.fq.gz,P1EN027,1,Domestic,151,Ferezye,8.614446167,38.12945221,2ec83ae5-2d18-4aec-80bf-8d42c5d4fac6,26/01/2018
P1EN028.digested.trimmed.fq.gz,P1EN028,1,Domestic,179,Ferezye,8.38387535,37.86047299,006d4d63-050b-44c2-9789-b7304135847e,02/02/2018
P1EN029.digested.trimmed.fq.gz,P1EN029,1,Domestic,117,Ganchwe,8.362931949,37.8160852,a5bce1c6-b257-4e3a-ab25-b5cf3f70d66a,02/02/2018
