popmap,sequence_id,type,sample_id,landrace,latitude,longitude,sample_date,regions,subregions
pop1,EXS11ID000851,Domesticated,000236,Chamo,6.191268003,37.57450757,18/10/2018,Southern Nations Nationalities and Peoples,Gamo Gofa
pop2,EXS12ID000488,Domesticated,000155,Worsaife,6.049165501,37.22941625,20/10/2018,Southern Nations Nationalities and Peoples,Gamo Gofa
pop3,EXS13ID000895,Domesticated,000247,Arooko,7.933571263,36.51323982,24/10/2018,Oromia,Jimma
pop4,EXS16ID000913,Semi-domesticated,000253,Unnamed (semi-domesticated),9.037241562,37.42883203,25/10/2018,Oromia,West Shewa
pop5,EXS17ID000914,Semi-domesticated,000254,Unnamed (semi-domesticated),9.037225949,37.4289773,25/10/2018,Oromia,West Shewa
pop6,EXS1ID000384,Domesticated,000116,Ganticha,6.774082442,38.43834313,02/04/2018,Southern Nations Nationalities and Peoples,Sidama
pop7,EXS5ID000604,Domesticated,000185,Toracho,6.137371431,38.1996072,04/04/2018,Southern Nations Nationalities and Peoples,Gedeo
pop8,EXS8ID000683,Domesticated,000211,Wanade,6.778954922,37.76874955,10/04/2018,Southern Nations Nationalities and Peoples,Wolayita
pop9,P1EN003,Domesticated,000029,Achachet,8.491123519,38.01776645,27/01/2018,Oromia,South West Shewa
pop10,P1EN004,Domesticated,000026,Achora,8.594391793,38.12799501,26/01/2018,Oromia,South West Shewa
pop11,P1EN005,Domesticated,000077,Agade,7.967592026,37.87879265,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop12,P1EN006,Domesticated,000022,Amerat,8.109740093,37.94747941,04/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop13,P1EN007,Domesticated,000087,Anhauriye,7.988862405,37.87177054,07/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop14,P1EN008,Domesticated,000078,Ankafuye,7.964639878,37.88194123,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop15,P1EN009,Domesticated,000074,Astara North,7.967711887,37.87879701,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop16,P1EN010,Domesticated,000038,Awugne,8.703316175,37.88128241,29/01/2018,Oromia,South West Shewa
pop17,P1EN011,Domesticated,000048,Badadet,8.381723044,37.85846553,02/02/2018,Oromia,South West Shewa
pop18,P1EN012,Domesticated,000040,Badadet,8.555345787,38.11014893,26/01/2018,Oromia,South West Shewa
pop19,P1EN013,Domesticated,000056,Badadet,8.701681704,37.88014105,29/01/2018,Oromia,South West Shewa
pop20,P1EN014,Domesticated,000125,Bashalga,8.620383823,37.90502314,30/01/2018,Oromia,South West Shewa
pop21,P1EN015,Domesticated,000105,Bazariya,7.98749167,37.87566075,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop22,P1EN016,Domesticated,000021,Bishaganchwe,8.196865031,37.81074297,04/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop23,P1EN017,Domesticated,000076,Bishamerat,7.967645461,37.87881553,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop24,P1EN018,Domesticated,000107,Bishastara,7.98747675,37.87568456,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop25,P1EN019,Domesticated,000082,Busara,7.960613421,37.88266853,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop26,P1EN020,Domesticated,000027,Chachata,8.594311452,38.12812317,26/01/2018,Oromia,South West Shewa
pop27,P1EN021,Domesticated,000039,Dere,8.489701822,38.01724861,27/01/2018,Oromia,South West Shewa
pop28,P1EN022,Domesticated,000219,Dima,8.504658155,38.00339517,25/01/2018,Oromia,South West Shewa
pop29,P1EN023,Domesticated,000017,Dinkinet,8.194216895,37.80640385,04/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop30,P1EN024,Domesticated,000084,Edemert,7.960681482,37.88266291,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop31,P1EN025,Domesticated,000073,Emeriye,7.967846459,37.87894151,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop32,P1EN026,Domesticated,000059,Ferezye,8.703310476,37.88037247,29/01/2018,Oromia,South West Shewa
pop33,P1EN027,Domesticated,000024,Ferezye,8.614446167,38.12945221,26/01/2018,Oromia,South West Shewa
pop34,P1EN028,Domesticated,000035,Ferezye,8.38387535,37.86047299,02/02/2018,Oromia,South West Shewa
pop35,P1EN029,Domesticated,000010,Ganchwe,8.362931949,37.8160852,02/02/2018,Oromia,South West Shewa
pop36,P1EN030,Domesticated,000104,Gimbowa,7.98684685,37.87609099,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop37,P1EN031,Domesticated,000108,Guadamerat,7.987466482,37.87565111,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop38,P1EN032,Domesticated,000092,Guadbadadet,8.076002597,37.74723733,08/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop39,P1EN033,Domesticated,000058,Guariye,8.142538732,37.9210796,03/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop40,P1EN034,Domesticated,000011,Horate,8.362860912,37.81615938,02/02/2018,Oromia,South West Shewa
pop41,P1EN035,Domesticated,000025,Inniba,8.594414005,38.12798713,26/01/2018,Oromia,South West Shewa
pop42,P1EN036,Domesticated,000061,Jobra,8.142262967,37.9116943,03/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop43,P1EN037,Domesticated,000013,Kekeso,8.472651397,37.9550647,31/01/2018,Oromia,South West Shewa
pop44,P1EN038,Domesticated,000091,Lemad,8.07262578,37.7511604,08/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop45,P1EN039,Domesticated,000051,Lemat,8.361686482,37.81746478,02/02/2018,Oromia,South West Shewa
pop46,P1EN040,Domesticated,000034,Lemat,8.38387535,37.86047299,02/02/2018,Oromia,South West Shewa
pop47,P1EN041,Domesticated,000090,Lemat,8.58637773,37.94012312,30/01/2018,Oromia,South West Shewa
pop48,P1EN042,Domesticated,000075,Moyete,7.96762635,37.87874781,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop49,P1EN043,Domesticated,000106,Nechisedi,8.622934814,37.90426064,30/01/2018,Oromia,South West Shewa
pop50,P1EN044,Domesticated,000081,Nechwe,8.200857039,37.80185499,04/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop51,P1EN045,Domesticated,000018,Nechwe,8.196011041,37.80935906,04/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop52,P1EN046,Domesticated,000072,Nechwe,7.967780074,37.87902223,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop53,P1EN047,Domesticated,000079,Orate,7.964639752,37.88192228,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop54,P1EN048,Domesticated,000255,Qeso,8.47198776,38.05573295,25/01/2018,Oromia,South West Shewa
pop55,P1EN049,Domesticated,000041,Qore,8.590179551,38.12754264,26/01/2018,Oromia,South West Shewa
pop56,P1EN050,Domesticated,000071,Quashquashye,7.987469709,37.87582914,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop57,P1EN051,Domesticated,000228,Quiminar,8.506377661,38.0003569,25/01/2018,Oromia,South West Shewa
pop58,P1EN052,Domesticated,000067,Sebara,8.732460178,37.86117523,29/01/2018,Oromia,South West Shewa
pop59,P1EN053,Domesticated,000070,Separa,7.987493975,37.87568305,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop60,P1EN054,Domesticated,000083,Shertiye,7.960663545,37.88271965,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop61,P1EN055,Domesticated,000248,Shifere,8.460542816,38.0505681,25/01/2018,Oromia,South West Shewa
pop62,P1EN056,Domesticated,000120,Tatarata,8.622976975,37.90419912,30/01/2018,Oromia,South West Shewa
pop63,P1EN057,Domesticated,000031,Teganen,8.58355504,37.9397912,30/01/2018,Oromia,South West Shewa
pop64,P1EN058,Domesticated,000085,Tereriye,7.960512084,37.88264757,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop65,P1EN059,Domesticated,000028,Umbati,8.539869902,38.09192215,26/01/2018,Oromia,South West Shewa
pop66,P1EN060,Domesticated,000019,Usmail,8.196011041,37.80935906,04/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop67,P1EN061,Domesticated,000033,Waka,8.362763305,37.81620858,02/02/2018,Oromia,South West Shewa
pop68,P1EN062,Domesticated,000086,Wanade,7.964798003,37.88184199,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop69,P1EN063,Domesticated,000133,Worke dima,8.620351134,37.90511057,30/01/2018,Oromia,South West Shewa
pop70,P1EN064,Domesticated,000069,Yegondiye,7.987493975,37.87568305,05/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop71,P1EN065,Domesticated,000057,Yesherakinke,8.148023933,37.92101406,03/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop72,P1EN066,Domesticated,000088,Zoober,7.988847233,37.87186266,07/02/2018,Southern Nations Nationalities and Peoples,Gurage
pop73,P1EN070,Wild,000158,Wild (Ilubabor),8.35342,35.79897,NA,Oromia,Ilubabor
pop74,P1EN071,Wild,000042,Wild (Ilubabor),8.055449,35.52457,NA,Oromia,Ilubabor
pop75,P1EN072,Wild,000043,Wild (Ilubabor),8.055449,35.52457,NA,Oromia,Ilubabor
pop76,P1EN073,Wild,000044,Wild (Ilubabor),8.055449,35.52457,NA,Oromia,Ilubabor
pop77,P1EN074,Wild,000045,Wild (Sheka),7.577567,35.47841,NA,Southern Nations Nationalities and Peoples,Sheka
pop78,P1EN075,Wild,000046,Wild (Sheka),7.577567,35.47841,NA,Southern Nations Nationalities and Peoples,Sheka
pop79,P1EN076,Wild,000047,Wild (Sheka),7.577567,35.47841,NA,Southern Nations Nationalities and Peoples,Sheka
pop80,P1EN077,Wild,000012,Wild (Bench Maji),6.536185,35.48835,NA,Southern Nations Nationalities and Peoples,Bench Maji
pop81,P1EN082,Domesticated,000259,Maurelii (horticultural),NA,NA,NA,NA,NA
